01:50:50 INFO server listening on ('127.0.0.1', 5430)
01:50:50 INFO matchId=match_20260703_015050_cd278d audit=D:\software\chrome\the-6th-software-competition-master\the-6th-software-competition-master\match_runs\20260703_015049\server_logs\match_20260703_015050_cd278d.audit.jsonl replay=D:\software\chrome\the-6th-software-competition-master\the-6th-software-competition-master\match_runs\20260703_015049\server_logs\match_20260703_015050_cd278d.replay.jsonl
01:50:51 INFO client connected address=('127.0.0.1', 5433)
01:50:51 INFO registered playerId=1001 team=RED name=litchi-python version=0.1.0
01:50:51 INFO client connected address=('127.0.0.1', 5434)
01:50:51 INFO registered playerId=1002 team=BLUE name=idle-client version=idle-client-1.0
01:50:51 INFO both players registered; sending start
01:50:51 INFO ready playerId=1001
01:50:51 INFO ready playerId=1002
01:50:51 INFO both players ready; starting round loop tick_ms=500
01:50:51 INFO round=57 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=58 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=59 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=60 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=61 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=62 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=63 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=64 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=65 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=66 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=67 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=68 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=69 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=70 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
01:50:51 INFO round=71 events=3 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'WAIT', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
