01:35:31 INFO connecting host=127.0.0.1 port=9111 playerId=1002
01:35:31 INFO registration sent playerName=idle-client version=idle-client-1.0
01:35:31 INFO start received matchId=match_20260703_013529_9434cf round=1 team=RED
01:35:31 INFO ready sent round=1
01:35:31 INFO empty action sent round=1 total=1
01:35:31 INFO empty action sent round=2 total=2
01:35:31 INFO empty action sent round=3 total=3
01:35:31 INFO empty action sent round=4 total=4
01:35:31 INFO empty action sent round=5 total=5
01:35:31 INFO empty action sent round=6 total=6
01:35:31 INFO empty action sent round=7 total=7
01:35:31 INFO empty action sent round=8 total=8
01:35:31 INFO empty action sent round=9 total=9
01:35:31 INFO empty action sent round=10 total=10
01:35:31 INFO empty action sent round=11 total=11
01:35:31 INFO empty action sent round=12 total=12
01:35:31 INFO empty action sent round=13 total=13
01:35:31 INFO empty action sent round=14 total=14
01:35:31 INFO empty action sent round=15 total=15
01:35:31 INFO empty action sent round=16 total=16
01:35:31 INFO empty action sent round=17 total=17
01:35:31 INFO empty action sent round=18 total=18
01:35:31 INFO empty action sent round=19 total=19
01:35:31 INFO empty action sent round=20 total=20
01:35:31 INFO empty action sent round=21 total=21
01:35:31 INFO empty action sent round=22 total=22
01:35:31 INFO empty action sent round=23 total=23
01:35:31 INFO empty action sent round=24 total=24
01:35:31 INFO empty action sent round=25 total=25
01:35:31 INFO empty action sent round=26 total=26
01:35:31 INFO empty action sent round=27 total=27
01:35:31 INFO empty action sent round=28 total=28
01:35:31 INFO empty action sent round=29 total=29
01:35:31 INFO empty action sent round=30 total=30
01:35:31 INFO empty action sent round=31 total=31
01:35:31 INFO empty action sent round=32 total=32
01:35:31 INFO empty action sent round=33 total=33
01:35:31 INFO empty action sent round=34 total=34
01:35:31 INFO empty action sent round=35 total=35
01:35:31 INFO empty action sent round=36 total=36
01:35:31 INFO empty action sent round=37 total=37
01:35:31 INFO empty action sent round=38 total=38
01:35:31 INFO empty action sent round=39 total=39
01:35:31 INFO empty action sent round=40 total=40
01:35:31 INFO empty action sent round=41 total=41
01:35:31 INFO empty action sent round=42 total=42
01:35:31 INFO empty action sent round=43 total=43
01:35:31 INFO empty action sent round=44 total=44
01:35:31 INFO empty action sent round=45 total=45
01:35:31 INFO empty action sent round=46 total=46
01:35:31 INFO empty action sent round=47 total=47
01:35:31 INFO empty action sent round=48 total=48
01:35:31 INFO empty action sent round=49 total=49
01:35:31 INFO empty action sent round=50 total=50
01:35:31 INFO empty action sent round=51 total=51
01:35:31 INFO empty action sent round=52 total=52
01:35:31 INFO empty action sent round=53 total=53
01:35:31 INFO empty action sent round=54 total=54
01:35:31 INFO empty action sent round=55 total=55
01:35:31 INFO empty action sent round=56 total=56
01:35:31 INFO empty action sent round=57 total=57
01:35:31 INFO empty action sent round=58 total=58
01:35:31 INFO empty action sent round=59 total=59
01:35:31 INFO empty action sent round=60 total=60
01:35:31 INFO empty action sent round=61 total=61
01:35:31 INFO empty action sent round=62 total=62
01:35:31 INFO empty action sent round=63 total=63
01:35:31 INFO empty action sent round=64 total=64
01:35:31 INFO empty action sent round=65 total=65
01:35:31 INFO empty action sent round=66 total=66
01:35:31 INFO empty action sent round=67 total=67
01:35:31 INFO empty action sent round=68 total=68
01:35:31 INFO empty action sent round=69 total=69
