10:11:17 INFO server listening on ('127.0.0.1', 4399)
10:11:17 INFO matchId=match_20260703_101117_d39c71 audit=match_runs\loop\20260703_101117_m0037\server_logs\match_20260703_101117_d39c71.audit.jsonl replay=match_runs\loop\20260703_101117_m0037\server_logs\match_20260703_101117_d39c71.replay.jsonl
10:11:18 INFO client connected address=('127.0.0.1', 4402)
10:11:18 INFO registered playerId=1001 team=RED name=litchi-python version=0.1.0
10:11:18 INFO client connected address=('127.0.0.1', 4403)
10:11:18 INFO registered playerId=1002 team=BLUE name=litchi-python version=0.1.0
10:11:18 INFO both players registered; sending start
10:11:18 INFO ready playerId=1001
10:11:18 INFO ready playerId=1002
10:11:18 INFO both players ready; starting round loop tick_ms=500
10:11:19 INFO round=24 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=25 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=26 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=27 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=28 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=29 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=30 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=31 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=32 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
10:11:19 INFO round=33 events=4 results=[{'playerId': 1001, 'action': 'MOVE', 'accepted': True, 'errorCode': None}, {'playerId': 1002, 'action': 'MOVE', 'accepted': True, 'errorCode': None}] scores={'RED': 0, 'BLUE': 0}
